Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
5/1/2018,NG1,140527,86716.18,
6/1/2018,NG1,125254.15,78089.14,
7/1/2018,NG1,102728.42,65500.28,
8/1/2018,NG1,80252.84,49776.07,
9/1/2018,NG1,188003.49,117335.05,
10/1/2018,NG1,308846.52,200406.24,
11/1/2018,NG1,110245.05,74442.05,
12/1/2018,NG1,73917.81,62967.81,
1/1/2019,NG1,82491.39,60529.69,
2/1/2019,NG1,96503.31,63383.52,
3/1/2019,NG1,64224.04,41403.58,
4/1/2019,NG1,7477.25,5386.94,
5/1/2019,NG1,47117.19,29293.55,
6/1/2019,NG1,58922.65,36878.53,
7/1/2019,NG1,84591.74,49215.85,
8/1/2019,NG1,123225.98,69346.55,
9/1/2019,NG1,99130.31,57578.82,
10/1/2019,NG1,83474.44,50727.04,
11/1/2019,NG1,58866.69,37201.76,
12/1/2019,NG1,107135.01,66144.66,
1/1/2020,NG1,92537.8,54153.93,
2/1/2020,NG1,87034.37,48247.07,
3/1/2020,NG1,37818.09,21370.96,
4/1/2020,NG1,94162.07,50047.36,
5/1/2020,NG1,50326.31,27768.48,
6/1/2020,NG1,122420.13,65093.91,
7/1/2020,NG1,118080.14,59683.61,
8/1/2020,NG1,205443.3,111784.91,
9/1/2020,NG1,206467.02,128184.13,
10/1/2020,NG1,55478.31,31917.03,
11/1/2020,NG1,80650.79,53720.89,
12/1/2020,NG1,206047.99,135051.99,
1/1/2021,NG1,227227.82,138641.63,
12/1/2016,NG10,176.84,175.67,
1/1/2017,NG10,193.1,206.98,
2/1/2017,NG10,316.49,318.19,
3/1/2017,NG10,250.01,234.16,
4/1/2017,NG10,261.56,240.3,
5/1/2017,NG10,152.46,143.62,
6/1/2017,NG10,53.37,59.05,
7/1/2017,NG10,54.31,59.01,
8/1/2017,NG10,1108.09,953.09,
9/1/2017,NG10,310.18,288.26,
10/1/2017,NG10,233.35,210.13,
11/1/2017,NG10,255.82,242.96,
12/1/2017,NG10,232.08,226.9,
1/1/2018,NG10,155.47,149.99,
2/1/2018,NG10,334.37,344.84,
3/1/2018,NG10,219.55,207.08,
